value;params_C;params_class_weight;params_max_iter;params_penalty;params_solver;params_tol;scaled;pca
0.642857143;7.43E-05;balanced;237;l2;liblinear;4.33E-05;0;0
0.681818182;2984.419555;balanced;459;l1;saga;0.014220741;0;0
0.642857143;0.005159358;balanced;644;l2;saga;0.028667082;0;0
0.707792208;0.211792474;;439;l1;saga;0.001375478;0;0
0.649350649;0.001149741;;723;l1;saga;0.063561839;0;0
0.642857143;0.000186492;;612;l1;liblinear;1.02E-05;0;0
0.720779221;37.48146202;;592;l2;saga;0.000593852;0;0
0.688311688;18552.55296;balanced;189;l2;liblinear;0.05682885;0;0
0.75974026;5.282898014;;723;l2;liblinear;4.23E-05;0;0
0.733766234;442.5411961;;972;l2;saga;1.61E-05;0;0
0.701298701;524.1579309;;801;l2;saga;0.004243725;0;0
0.649350649;11.60582741;balanced;479;l1;saga;0.007947581;0;0
0.694805195;3248.354731;balanced;1000;l1;liblinear;0.000294249;0;0
0.688311688;19.84905566;balanced;800;l2;liblinear;0.056868567;0;0
0.694805195;0.00468907;balanced;276;l2;liblinear;0.001945466;0;0
0.681818182;0.000510349;balanced;538;l2;saga;0.000158627;0;0
0.694805195;3503.524495;balanced;273;l1;saga;0.000644777;0;0
0.688311688;32098.0205;;902;l2;saga;0.018789568;0;0
0.714285714;0.045169296;;785;l1;saga;1.43E-05;0;0
0.694805195;12843.9242;balanced;361;l2;liblinear;2.33E-05;0;0
0.701298701;315.4275589;;236;l2;saga;0.000115495;0;0
0.753246753;19585.16907;;128;l1;liblinear;0.003231647;0;0
0.590909091;0.001465933;balanced;787;l1;saga;0.007411331;0;0
0.753246753;1296.034297;;804;l1;liblinear;0.000278605;0;0
0.753246753;40.48677664;;178;l1;liblinear;0.00024232;0;0
0.707792208;0.007853333;balanced;811;l2;liblinear;4.93E-05;0;0
0.701298701;0.035306409;;741;l1;saga;0.000158266;0;0
0.720779221;3223.81763;;979;l1;saga;0.000684355;0;0
0.688311688;0.171529739;;643;l2;liblinear;0.046154569;0;0
0.701298701;0.000662538;;405;l2;liblinear;0.00027834;0;0
0.733766234;0.159023123;balanced;970;l2;liblinear;1.71E-05;0;0
0.753246753;63.28773215;;942;l1;liblinear;0.000167221;0;0
0.694805195;32340.95101;balanced;823;l1;liblinear;0.000518235;0;0
0.688311688;8.244505783;;825;l1;saga;0.033586628;0;0
0.753246753;2.003109506;;979;l1;liblinear;7.68E-05;0;0
0.681818182;9.94E-05;;313;l2;liblinear;6.29E-05;0;0
0.694805195;8856.56897;balanced;141;l2;liblinear;2.05E-05;0;0
0.688311688;3.516065283;;968;l2;saga;0.035669521;0;0
0.753246753;8797.482222;;507;l2;liblinear;1.17E-05;0;0
0.772727273;0.356944714;;665;l2;liblinear;0.001689976;0;0
0.75974026;3.804294644;;573;l1;liblinear;0.007328052;0;0
0.74025974;0.057796604;;406;l2;liblinear;0.003453722;0;0
0.688311688;13.14921119;;424;l2;liblinear;0.037166654;0;0
0.538961039;1.10E-05;balanced;542;l2;saga;0.039489728;0;0
0.623376623;0.001568198;balanced;852;l1;saga;0.000110901;0;0
0.649350649;0.335618968;balanced;405;l1;saga;0.008019929;0;0
0.636363636;880.0800271;balanced;173;l1;saga;0.042762505;0;0
0.694805195;3341.329254;balanced;516;l2;saga;0.000690379;0;0
0.675324675;0.000489442;balanced;420;l2;saga;0.002056096;0;0
0.707792208;83.13026119;;348;l2;saga;0.000351512;0;0
0.714285714;0.444066538;balanced;911;l1;liblinear;0.000402213;0;0
0.714285714;41107.18377;;400;l2;saga;1.12E-05;0;0
0.675324675;2039.435858;;876;l2;saga;0.020980739;0;0
0.701298701;4.513388555;;144;l2;saga;0.002179317;0;0
0.636363636;5.40E-05;balanced;918;l2;saga;5.78E-05;0;0
0.720779221;0.172199726;balanced;509;l1;liblinear;0.000351013;0;0
0.753246753;5.395844886;;948;l1;liblinear;0.030494839;0;0
0.694805195;56.23239674;balanced;170;l2;saga;0.003303224;0;0
0.753246753;2.308430223;;751;l1;liblinear;0.000169782;0;0
0.675324675;0.015350784;;782;l1;saga;0.007304944;0;0
0.720779221;1793.634139;;598;l2;saga;8.65E-05;0;0
0.694805195;9996.318986;balanced;545;l2;liblinear;0.000101955;0;0
0.714285714;3.019854165;;490;l1;saga;0.000243761;0;0
0.675324675;0.017430909;balanced;954;l1;liblinear;0.011946656;0;0
0.688311688;13250.20716;;975;l2;saga;0.006055356;0;0
0.681818182;0.006724177;;661;l2;saga;0.013122554;0;0
0.701298701;1.203945557;balanced;361;l2;saga;0.000633984;0;0
0.642857143;0.000862061;;284;l1;liblinear;0.003029765;0;0
0.707792208;294.1702921;;332;l1;saga;0.001565986;0;0
0.714285714;29.12907044;;415;l2;saga;0.000150631;0;0
0.694805195;39062.4534;balanced;784;l2;liblinear;2.65E-05;0;0
0.688311688;0.002251934;;864;l2;liblinear;0.070390556;0;0
0.75974026;27.24483317;;279;l1;liblinear;0.019466468;0;0
0.727272727;0.020786476;;871;l2;liblinear;0.01109972;0;0
0.694805195;0.093965602;balanced;242;l2;saga;0.000510742;0;0
0.701298701;21.13581432;;155;l2;saga;0.000848839;0;0
0.720779221;0.576361341;;711;l2;saga;0.000709837;0;0
0.655844156;40035.14684;balanced;846;l1;saga;0.022352841;0;0
0.642857143;0.000295869;;813;l1;saga;0.040576728;0;0
0.694805195;1069.295374;;517;l2;saga;0.084975671;0;0
0.707792208;2056.394506;balanced;307;l1;liblinear;0.010056935;0;0
0.688311688;0.000626306;balanced;202;l2;liblinear;0.001489161;0;0
0.694805195;0.002868742;;413;l1;liblinear;3.38E-05;0;0
0.642857143;0.000130068;;524;l1;liblinear;0.023818467;0;0
0.642857143;1.68E-05;;964;l1;liblinear;0.000492654;0;0
0.584415584;1.37E-05;balanced;797;l2;saga;0.00390417;0;0
0.681818182;0.000551173;balanced;483;l2;liblinear;0.001666107;0;0
0.701298701;28.95590561;balanced;148;l2;liblinear;0.034596588;0;0
0.694805195;2447.697012;balanced;999;l1;saga;0.000673425;0;0
