value;params_activation;params_alpha;params_hidden_layer_sizes;params_learning_rate;params_max_iter;params_solver;scaled;pca
0.727272727;logistic;3.44E-05;70;adaptive;646;adam;0;0
0.753246753;identity;0.000545649;66;adaptive;155;lbfgs;0;0
0.668831169;logistic;0.041396256;68;constant;269;sgd;0;0
0.649350649;logistic;0.008219443;86;constant;697;lbfgs;0;0
0.675324675;identity;0.000918272;46;constant;823;sgd;0;0
0.746753247;relu;0.00203139;38;adaptive;127;lbfgs;0;0
0.642857143;relu;0.00330415;49;constant;129;sgd;0;0
0.616883117;identity;1.66E-05;46;invscaling;980;adam;0;0
0.688311688;logistic;9.38E-05;58;adaptive;253;adam;0;0
0.662337662;tanh;0.004958127;50;adaptive;424;lbfgs;0;0
0.649350649;relu;0.002502843;42;adaptive;431;adam;0;0
0.772727273;identity;0.055837391;3;adaptive;111;lbfgs;0;0
0.701298701;logistic;0.01111041;76;adaptive;469;sgd;0;0
0.675324675;relu;2.29E-05;75;invscaling;497;sgd;0;0
0.707792208;relu;0.053104688;37;constant;760;adam;0;0
0.642857143;tanh;0.013860581;9;invscaling;829;lbfgs;0;0
0.62987013;logistic;1.69E-05;54;invscaling;560;lbfgs;0;0
0.655844156;tanh;0.001421365;100;adaptive;923;sgd;0;0
0.707792208;identity;2.62E-05;100;invscaling;903;adam;0;0
0.649350649;tanh;0.002304168;67;constant;694;lbfgs;0;0
0.642857143;logistic;0.00755764;13;adaptive;627;sgd;0;0
0.649350649;tanh;0.006991002;24;constant;434;sgd;0;0
0.727272727;identity;0.000111228;84;adaptive;456;sgd;0;0
0.603896104;identity;1.25E-05;72;invscaling;749;sgd;0;0
0.590909091;identity;0.086386871;5;invscaling;813;sgd;0;0
0.753246753;identity;0.000170855;100;invscaling;585;lbfgs;0;0
0.551948052;identity;1.58E-05;44;invscaling;712;lbfgs;0;0
0.636363636;tanh;1.16E-05;31;constant;713;lbfgs;0;0
0.668831169;relu;0.023407723;48;invscaling;654;adam;0;0
0.662337662;identity;6.32E-05;46;constant;943;sgd;0;0
0.603896104;relu;0.013075563;17;adaptive;552;adam;0;0
0.558441558;tanh;0.003327842;60;invscaling;668;sgd;0;0
0.701298701;relu;0.005278763;60;constant;182;sgd;0;0
0.668831169;identity;2.16E-05;7;adaptive;836;adam;0;0
0.701298701;tanh;0.058853472;68;adaptive;169;adam;0;0
0.649350649;logistic;4.78E-05;87;constant;327;lbfgs;0;0
0.668831169;tanh;0.064789342;41;constant;607;lbfgs;0;0
0.74025974;logistic;4.85E-05;76;constant;261;adam;0;0
0.701298701;logistic;7.09E-05;76;adaptive;256;sgd;0;0
0.714285714;identity;0.00017346;59;adaptive;252;sgd;0;0
0.681818182;identity;0.006372992;77;invscaling;755;adam;0;0
0.662337662;tanh;0.008868843;97;invscaling;718;lbfgs;0;0
0.668831169;logistic;0.006668106;97;adaptive;334;adam;0;0
0.642857143;tanh;0.00031307;31;constant;795;lbfgs;0;0
0.642857143;logistic;0.002033552;71;invscaling;623;sgd;0;0
0.649350649;logistic;0.004381616;61;constant;483;lbfgs;0;0
0.707792208;logistic;0.000174978;81;adaptive;304;sgd;0;0
0.642857143;logistic;0.000564353;87;constant;150;lbfgs;0;0
0.688311688;identity;0.000229126;52;invscaling;941;adam;0;0
0.707792208;logistic;0.003384163;37;invscaling;987;adam;0;0
0.662337662;identity;0.001619081;97;constant;570;adam;0;0
0.753246753;identity;9.07E-05;42;invscaling;108;lbfgs;0;0
0.714285714;identity;1.66E-05;92;adaptive;228;adam;0;0
0.714285714;logistic;0.002494986;83;adaptive;475;adam;0;0
0.753246753;identity;0.003822881;98;adaptive;611;lbfgs;0;0
0.688311688;tanh;1.37E-05;60;constant;977;adam;0;0
0.649350649;relu;2.11E-05;47;adaptive;230;adam;0;0
0.623376623;relu;1.91E-05;17;invscaling;205;sgd;0;0
0.714285714;relu;0.003529388;76;invscaling;329;lbfgs;0;0
0.753246753;identity;7.26E-05;35;constant;628;lbfgs;0;0
