value;params_bootstrap;params_criterion;params_max_depth;params_max_features;params_max_leaf_nodes;params_min_samples_leaf;params_min_samples_split;params_n_estimators;scaled;pca
0.74025974;False;gini;89;sqrt;826;0.005705481;0.001378055;360;0;0
0.74025974;False;log_loss;51;;672;0.498130309;0.011543826;228;0;0
0.772727273;False;gini;81;sqrt;135;0.118352782;0.010799385;19;0;0
0.772727273;True;entropy;94;;997;0.000525216;0.392334477;945;0;0
0.779220779;False;log_loss;100;log2;742;0.032380716;0.00012429;560;0;0
0.74025974;False;gini;63;;660;0.000137915;0.001078301;309;0;0
0.707792208;False;log_loss;10;;182;0.003901016;0.006213479;710;0;0
0.720779221;False;gini;35;;828;0.000230844;0.095103884;609;0;0
0.753246753;True;log_loss;63;log2;273;0.113334509;0.000250255;925;0;0
0.642857143;True;log_loss;65;;764;0.481641418;0.507733276;191;0;0
0.74025974;False;gini;20;;291;0.20758249;0.000249419;800;0;0
0.74025974;True;gini;52;;888;0.000876577;0.001825441;923;0;0
0.642857143;True;entropy;9;;926;0.083065767;0.733125101;671;0;0
0.75974026;True;entropy;74;;488;0.036730432;0.000121204;858;0;0
0.772727273;True;gini;19;log2;201;0.006652515;0.003725793;284;0;0
0.753246753;False;entropy;46;sqrt;305;0.000133169;0.006408286;656;0;0
0.733766234;False;entropy;80;;625;0.077735163;0.000292025;550;0;0
0.766233766;False;log_loss;16;log2;400;0.00034416;0.204174729;408;0;0
0.75974026;False;entropy;36;sqrt;550;0.02717392;0.003091263;320;0;0
0.733766234;False;log_loss;29;log2;561;0.005606381;0.000372789;163;0;0
0.74025974;True;entropy;35;;304;0.170543809;0.000658926;893;0;0
0.642857143;True;gini;92;log2;386;0.301863267;0.119454887;545;0;0
0.733766234;False;log_loss;60;log2;285;0.003540533;0.000514493;262;0;0
0.766233766;False;entropy;97;log2;20;0.051193421;0.010790477;477;0;0
0.75974026;True;gini;4;;811;0.015889066;0.006534369;832;0;0
0.772727273;False;log_loss;2;;460;0.000744121;0.002295539;116;0;0
0.766233766;False;gini;100;;913;0.00333234;0.021560848;646;0;0
0.753246753;False;entropy;47;sqrt;708;0.000164757;0.108114152;656;0;0
0.75974026;False;gini;70;sqrt;250;0.131801193;0.013936495;483;0;0
0.772727273;True;gini;15;log2;226;0.039243795;0.000104776;858;0;0
0.772727273;True;gini;65;;154;0.063704723;0.028833374;584;0;0
