value;params_C;params_class_weight;params_max_iter;params_penalty;params_solver;params_tol;scaled;pca
0.935;0.001930039;balanced;315;l1;liblinear;0.002876508;0;0
0.935;0.207109107;;307;l1;saga;0.00273668;0;0
0.935;11.17475304;;269;l1;liblinear;0.001852124;0;0
0.61;946.7426246;balanced;124;l1;liblinear;0.012710879;0;0
0.575;8970.011424;balanced;951;l2;saga;1.36E-05;0;0
0.935;0.126084856;;925;l1;saga;0.085215233;0;0
0.665;0.003462867;balanced;544;l2;saga;0.001651634;0;0
0.935;0.038925576;balanced;535;l1;liblinear;0.059314189;0;0
0.935;1549.75022;;910;l2;saga;0.000537897;0;0
0.59;44486.54085;balanced;803;l2;saga;0.000511151;0;0
0.895;0.048381807;balanced;655;l2;saga;0.042073778;0;0
0.935;4.52E-05;;173;l1;liblinear;0.001001424;0;0
0.935;94743.01795;;433;l1;saga;0.001436849;0;0
0.935;33437.85736;;834;l2;saga;0.008326169;0;0
0.845;22717.05368;balanced;711;l1;saga;0.014924348;0;0
0.935;70491.1091;;391;l1;saga;0.016363259;0;0
0.935;906.4485719;;693;l1;saga;0.015250786;0;0
0.935;0.000799011;balanced;442;l1;liblinear;3.02E-05;0;0
0.935;0.002436081;;701;l1;saga;8.15E-05;0;0
0.89;4337.638069;balanced;455;l1;saga;0.082429105;0;0
0.935;0.010276077;balanced;664;l1;liblinear;5.28E-05;0;0
0.935;0.000146537;;959;l1;saga;5.91E-05;0;0
0.615;13147.86288;balanced;687;l2;liblinear;0.013716648;0;0
0.935;66506.12165;;459;l2;liblinear;0.003472342;0;0
0.935;3.402789385;;215;l2;saga;9.11E-05;0;0
0.935;1268.512399;;209;l2;saga;0.073141475;0;0
0.935;0.000248184;;165;l1;saga;0.015014089;0;0
0.875;0.000338404;balanced;516;l2;saga;0.015936534;0;0
0.75;6896.618161;balanced;184;l2;saga;1.46E-05;0;0
0.57;38.33062591;balanced;900;l1;saga;0.000285174;0;0
0.935;36.73164428;;432;l2;saga;4.47E-05;0;0
0.605;5279.569035;balanced;341;l1;liblinear;0.00066071;0;0
0.935;4.37E-05;balanced;277;l1;liblinear;0.001275376;0;0
0.935;0.000533983;balanced;979;l1;liblinear;0.00053496;0;0
0.605;1918.140292;balanced;200;l2;liblinear;4.20E-05;0;0
0.89;1523.082211;balanced;946;l1;saga;0.084457344;0;0
0.935;2176.843132;;418;l1;liblinear;2.24E-05;0;0
0.935;0.030979071;;779;l1;saga;0.002429618;0;0
0.565;0.012875148;balanced;633;l2;liblinear;7.63E-05;0;0
0.625;4.543743776;balanced;118;l1;liblinear;0.000242724;0;0
0.575;61792.37034;balanced;888;l2;saga;8.86E-05;0;0
0.645;0.205589329;balanced;585;l1;liblinear;0.007046009;0;0
0.935;5.84E-05;;177;l1;liblinear;0.000558363;0;0
0.935;971.6404589;;856;l1;liblinear;0.010303521;0;0
0.935;405.3994661;;970;l2;saga;6.07E-05;0;0
0.935;70.78132219;;133;l1;saga;0.016937843;0;0
0.935;0.001427115;;866;l2;liblinear;0.000271036;0;0
0.935;3392.216947;;146;l1;liblinear;0.000762057;0;0
0.935;17.03092633;;517;l2;saga;0.033344146;0;0
0.935;0.000135689;;914;l1;saga;1.80E-05;0;0
0.56;2.712211893;balanced;912;l1;saga;3.73E-05;0;0
0.605;6329.07938;balanced;297;l1;liblinear;0.007978214;0;0
0.935;0.113458237;;742;l2;liblinear;0.007934267;0;0
0.765;1.853022004;balanced;158;l2;saga;3.81E-05;0;0
0.605;16950.043;balanced;973;l2;liblinear;0.000552807;0;0
0.605;69.95827804;balanced;797;l1;liblinear;5.12E-05;0;0
0.935;2369.267284;;796;l2;liblinear;0.000735049;0;0
0.605;12960.42841;balanced;527;l2;liblinear;3.44E-05;0;0
0.69;0.001066376;balanced;414;l2;saga;0.000225225;0;0
0.935;0.002323288;;256;l2;saga;5.08E-05;0;0
0.605;71.34918592;balanced;889;l2;liblinear;4.00E-05;0;0
0.935;7698.457277;;573;l1;liblinear;0.000218569;0;0
0.935;0.000126253;;594;l2;saga;0.000156074;0;0
0.935;55.39877132;;830;l2;saga;1.11E-05;0;0
0.935;4.63E-05;;1000;l1;liblinear;0.001724077;0;0
0.935;0.000133703;balanced;576;l1;saga;0.00115391;0;0
0.935;0.138711357;;159;l2;saga;0.016711153;0;0
0.61;2017.353388;balanced;344;l1;liblinear;0.007370822;0;0
0.935;2.761996176;;613;l2;saga;0.022326498;0;0
0.935;0.007253584;;195;l1;saga;0.051651061;0;0
0.605;524.40704;balanced;672;l1;liblinear;0.00028322;0;0
0.61;99380.22749;balanced;450;l1;liblinear;0.01225619;0;0
0.89;0.634338594;balanced;941;l1;saga;0.03507722;0;0
0.935;0.069236434;;639;l1;liblinear;0.000164358;0;0
0.605;0.00132558;balanced;852;l1;saga;0.000451374;0;0
0.605;14215.14868;balanced;838;l1;liblinear;7.17E-05;0;0
0.935;23.69198779;;953;l1;liblinear;0.011899056;0;0
0.605;11471.47317;balanced;739;l2;saga;9.94E-05;0;0
0.935;0.000603237;;368;l2;liblinear;0.000868777;0;0
0.935;1.198283099;;527;l2;liblinear;0.001072622;0;0
