value;params_activation;params_alpha;params_hidden_layer_sizes;params_learning_rate;params_max_iter;params_solver;scaled;pca
0.935;relu;2.80E-05;71;constant;795;sgd;0;0
0.935;relu;0.006014061;3;invscaling;185;adam;0;0
0.935;identity;0.072376999;19;adaptive;999;adam;0;0
0.935;tanh;0.000657605;24;invscaling;858;lbfgs;0;0
0.92;tanh;0.081361842;32;invscaling;589;sgd;0;0
0.935;relu;0.004057281;74;adaptive;403;lbfgs;0;0
0.935;tanh;0.01521917;41;adaptive;193;adam;0;0
0.935;logistic;1.40E-05;2;constant;327;adam;0;0
0.935;identity;5.63E-05;98;constant;798;adam;0;0
0.935;identity;2.52E-05;73;constant;636;lbfgs;0;0
0.935;logistic;0.003216242;34;invscaling;439;sgd;0;0
0.875;relu;0.000136817;14;invscaling;568;adam;0;0
0.935;logistic;0.095113018;54;invscaling;383;sgd;0;0
0.935;tanh;0.000595085;59;invscaling;889;lbfgs;0;0
0.935;tanh;1.06E-05;21;invscaling;715;sgd;0;0
0.935;logistic;0.002278499;64;constant;320;lbfgs;0;0
0.935;tanh;0.016891294;7;adaptive;745;adam;0;0
0.1;tanh;0.000288832;4;invscaling;856;sgd;0;0
0.935;identity;7.49E-05;7;invscaling;243;adam;0;0
0.93;tanh;0.009256874;48;constant;534;lbfgs;0;0
0.935;tanh;4.61E-05;8;constant;964;adam;0;0
0.935;identity;0.00120314;51;adaptive;337;adam;0;0
0.935;relu;0.000212557;90;constant;487;lbfgs;0;0
0.935;tanh;0.000249076;81;invscaling;343;adam;0;0
0.935;relu;0.003205519;27;invscaling;649;sgd;0;0
0.93;tanh;0.001567518;92;invscaling;320;sgd;0;0
0.935;relu;0.015303398;19;adaptive;782;sgd;0;0
0.935;relu;0.000825736;12;constant;852;lbfgs;0;0
0.935;identity;2.92E-05;46;invscaling;348;adam;0;0
0.065;relu;1.04E-05;1;invscaling;157;sgd;0;0
0.935;relu;1.36E-05;16;invscaling;808;lbfgs;0;0
0.935;logistic;0.000587743;50;adaptive;181;adam;0;0
0.17;logistic;0.000427785;23;invscaling;437;sgd;0;0
0.935;relu;0.003043584;64;adaptive;118;lbfgs;0;0
0.935;logistic;0.00059608;74;constant;503;lbfgs;0;0
0.935;relu;1.20E-05;63;adaptive;660;sgd;0;0
0.935;tanh;0.048413568;59;constant;375;lbfgs;0;0
0.065;relu;0.024287095;1;invscaling;289;sgd;0;0
0.93;tanh;5.69E-05;31;constant;342;sgd;0;0
0.925;relu;0.001093483;60;constant;776;adam;0;0
0.935;identity;2.72E-05;50;invscaling;320;lbfgs;0;0
0.935;identity;1.96E-05;83;invscaling;668;adam;0;0
0.935;relu;0.000181336;59;constant;595;lbfgs;0;0
0.935;relu;0.000805895;78;adaptive;971;sgd;0;0
0.935;logistic;2.37E-05;18;invscaling;734;adam;0;0
0.93;tanh;0.006720642;57;constant;590;sgd;0;0
0.92;tanh;0.001239594;98;adaptive;688;lbfgs;0;0
0.935;tanh;0.000149643;80;invscaling;926;adam;0;0
0.92;tanh;0.001550056;12;invscaling;441;lbfgs;0;0
0.935;identity;0.000132662;16;constant;563;lbfgs;0;0
0.935;identity;0.004657651;80;constant;928;lbfgs;0;0
0.935;relu;0.000664291;88;constant;656;sgd;0;0
0.935;identity;0.007482071;16;adaptive;206;lbfgs;0;0
