value;params_bootstrap;params_criterion;params_max_depth;params_max_features;params_max_leaf_nodes;params_min_samples_leaf;params_min_samples_split;params_n_estimators;scaled;pca
0.935;False;log_loss;7;log2;535;0.065830819;0.001227051;452;0;0
0.935;False;gini;95;;270;0.00645012;0.005264958;334;0;0
0.935;False;entropy;48;log2;485;0.016116942;0.00724133;350;0;0
0.935;False;gini;27;sqrt;524;0.000716909;0.036316736;870;0;0
0.92;True;gini;25;sqrt;105;0.000338587;0.00025461;78;0;0
0.935;True;entropy;4;;4;0.006343147;0.035909061;188;0;0
0.93;False;log_loss;12;;132;0.002918095;0.001478929;585;0;0
0.935;False;entropy;52;log2;533;0.001397702;0.356139905;627;0;0
0.925;True;log_loss;80;sqrt;157;0.000704857;0.002393801;479;0;0
0.935;False;log_loss;66;log2;219;0.017231804;0.143179191;106;0;0
0.92;True;log_loss;12;sqrt;257;0.000497202;0.01052725;26;0;0
0.935;False;entropy;23;sqrt;573;0.396171402;0.5148266;516;0;0
0.935;True;gini;35;sqrt;136;0.154017564;0.003919913;536;0;0
0.935;True;gini;3;;579;0.003460885;0.022527721;105;0;0
0.93;True;entropy;73;;636;0.000216213;0.004177681;253;0;0
0.915;False;log_loss;37;sqrt;616;0.001001784;0.015299877;407;0;0
0.935;True;log_loss;94;;850;0.445596337;0.051097965;193;0;0
0.935;False;gini;70;;175;0.415956794;0.058926201;573;0;0
0.935;True;log_loss;59;sqrt;611;0.225075431;0.000238298;459;0;0
0.935;True;gini;32;;349;0.016018386;0.014788741;464;0;0
0.935;True;log_loss;35;log2;373;0.000649605;0.014852244;456;0;0
0.92;True;gini;46;log2;151;0.000140185;0.000164117;776;0;0
0.935;False;log_loss;79;log2;952;0.094617545;0.009347463;341;0;0
0.935;False;log_loss;93;log2;736;0.001514765;0.929108858;374;0;0
0.935;True;log_loss;84;;431;0.042330945;0.30901161;620;0;0
0.935;True;entropy;19;;863;0.040719969;0.023527983;671;0;0
0.935;True;entropy;86;sqrt;180;0.270079088;0.000205051;356;0;0
0.935;True;entropy;53;log2;905;0.005985502;0.001632057;793;0;0
0.935;False;entropy;17;log2;170;0.005798686;0.000187997;117;0;0
0.935;True;log_loss;38;;590;0.179727095;0.000293257;936;0;0
0.925;True;entropy;39;log2;677;0.000347093;0.000362039;686;0;0
0.935;False;entropy;43;sqrt;98;0.000490654;0.586810934;924;0;0
0.935;True;log_loss;19;sqrt;800;0.025798273;0.656478364;258;0;0
0.935;False;log_loss;55;sqrt;121;0.002460828;0.464900151;396;0;0
0.915;False;log_loss;93;sqrt;902;0.000128231;0.009912433;369;0;0
0.935;True;log_loss;44;;383;0.057659833;0.006727741;505;0;0
0.935;False;log_loss;89;sqrt;947;0.03001194;0.054223825;326;0;0
0.915;False;entropy;14;;857;0.00099493;0.000242884;601;0;0
0.935;True;entropy;62;sqrt;731;0.000655492;0.014390797;99;0;0
0.935;False;gini;20;sqrt;691;0.037032897;0.000557392;557;0;0
0.935;True;log_loss;81;;885;0.14229777;0.32154671;89;0;0
0.935;True;log_loss;36;log2;524;0.00018374;0.022732404;618;0;0
0.935;False;entropy;99;sqrt;397;0.158531758;0.782522889;498;0;0
0.925;False;gini;63;sqrt;320;0.000100735;0.016444382;941;0;0
0.935;True;gini;86;log2;10;0.000112646;0.064600954;781;0;0
0.925;True;log_loss;11;log2;703;0.000311396;0.000373885;221;0;0
0.91;False;gini;55;sqrt;961;0.000176107;0.000527105;440;0;0
0.935;True;entropy;93;sqrt;800;0.000160002;0.328129924;258;0;0
0.935;False;entropy;88;log2;288;0.058206366;0.00192004;786;0;0
0.935;False;log_loss;50;;207;0.049141747;0.001560596;557;0;0
0.935;False;log_loss;51;sqrt;723;0.073712765;0.000567782;772;0;0
0.935;False;log_loss;59;;192;0.004107655;0.000751274;540;0;0
0.935;True;gini;61;log2;607;0.001378554;0.107794878;509;0;0
0.92;False;gini;19;;422;0.000944682;0.036316714;87;0;0
0.935;False;entropy;15;log2;960;0.000444535;0.859797168;624;0;0
0.935;True;log_loss;95;;879;0.229900934;0.000201106;42;0;0
0.935;False;gini;33;sqrt;364;0.281741429;0.006773224;545;0;0
0.935;True;entropy;91;log2;22;0.000397181;0.015704865;451;0;0
0.935;False;log_loss;43;sqrt;69;0.012709332;0.006451615;590;0;0
0.92;False;gini;79;log2;841;0.000423353;0.016309452;347;0;0
0.935;False;entropy;23;;81;0.035683197;0.00038864;425;0;0
0.935;True;gini;95;;766;0.002697428;0.011968027;311;0;0
0.935;False;gini;78;sqrt;531;0.010952712;0.474197546;331;0;0
0.935;True;entropy;8;log2;167;0.057096496;0.001508215;537;0;0
0.935;False;entropy;68;sqrt;182;0.016698991;0.021670226;720;0;0
0.91;False;gini;34;log2;486;0.00018112;0.000380888;642;0;0
0.93;False;log_loss;50;;746;0.002825459;0.004513939;842;0;0
0.935;False;log_loss;32;;455;0.011321658;0.000463305;158;0;0
0.935;True;gini;61;;569;0.491133279;0.012528497;458;0;0
0.935;False;gini;55;sqrt;669;0.002627479;0.000518333;911;0;0
0.935;False;gini;36;;936;0.038810544;0.089935152;787;0;0
0.935;False;gini;6;;517;0.012223289;0.122446445;28;0;0
0.935;False;gini;40;sqrt;184;0.00726476;0.0318174;653;0;0
0.925;False;gini;77;;160;0.002892248;0.002539661;672;0;0
0.935;True;gini;65;log2;299;0.000301254;0.031066906;256;0;0
0.935;True;entropy;48;;655;0.131179256;0.000878159;263;0;0
0.935;True;gini;80;log2;748;0.0003126;0.871184472;516;0;0
0.935;True;entropy;2;log2;915;0.010808905;0.000210161;469;0;0
0.935;False;gini;62;log2;980;0.191800759;0.519829838;773;0;0
0.935;False;entropy;39;sqrt;185;0.005418227;0.46557847;77;0;0
0.935;True;log_loss;65;sqrt;122;0.000142514;0.016634548;362;0;0
0.935;True;log_loss;13;;907;0.011505426;0.184916032;304;0;0
0.91;False;gini;37;sqrt;995;0.000216371;0.000103081;703;0;0
0.935;True;entropy;38;log2;956;0.026099779;0.003026495;193;0;0
0.935;True;entropy;62;;394;0.007777669;0.000307865;548;0;0
0.935;True;gini;19;sqrt;625;0.171577452;0.012910493;160;0;0
0.935;False;log_loss;23;log2;430;0.247138028;0.000511338;102;0;0
0.935;True;gini;91;log2;154;0.014314633;0.00148477;135;0;0
0.935;True;entropy;40;;414;0.015473233;0.003054322;735;0;0
0.925;True;entropy;62;sqrt;395;0.00036853;0.001243203;555;0;0
0.93;False;entropy;70;;411;0.002534182;0.027785442;492;0;0
0.935;True;gini;72;sqrt;227;0.004984337;0.004360568;175;0;0
0.935;False;entropy;74;sqrt;52;0.000413451;0.765503456;92;0;0
0.93;True;entropy;59;sqrt;813;0.000740787;0.008789857;35;0;0
0.935;False;gini;81;;590;0.099561978;0.16198573;459;0;0
0.935;True;log_loss;21;;214;0.028786721;0.339531199;324;0;0
0.935;False;log_loss;13;log2;291;0.170813411;0.043313984;747;0;0
0.935;True;gini;49;;405;0.240678414;0.001552114;856;0;0
0.935;True;entropy;85;;991;0.005249557;0.263100119;384;0;0
0.935;True;gini;57;sqrt;351;0.48983484;0.000173161;101;0;0
0.935;True;entropy;31;sqrt;248;0.106709258;0.011086477;559;0;0
0.935;True;log_loss;35;log2;22;0.000302626;0.347187589;730;0;0
0.935;False;log_loss;98;;950;0.163318695;0.409951729;593;0;0
0.935;True;gini;4;sqrt;904;0.000173877;0.179137195;109;0;0
0.935;False;gini;90;log2;683;0.009261374;0.110026998;708;0;0
