value;params_activation;params_alpha;params_hidden_layer_sizes;params_learning_rate;params_max_iter;params_solver;scaled;pca
0.795121951;identity;0.000301701;46;constant;784;lbfgs;0;0
0.775609756;identity;0.000387516;55;invscaling;287;adam;0;0
0.814634146;tanh;0.003430934;37;invscaling;950;lbfgs;0;0
0.8;logistic;0.003680871;29;constant;441;adam;0;0
0.785365854;identity;0.000294666;43;constant;583;lbfgs;0;0
0.785365854;tanh;1.61E-05;75;adaptive;423;adam;0;0
0.790243902;identity;0.002552597;8;invscaling;797;adam;0;0
0.829268293;tanh;3.21E-05;90;constant;967;lbfgs;0;0
0.814634146;logistic;3.49E-05;72;invscaling;747;adam;0;0
0.502439024;tanh;0.000290934;9;constant;750;sgd;0;0
0.614634146;logistic;0.001445745;24;adaptive;846;sgd;0;0
0.8;relu;0.055938965;76;invscaling;536;adam;0;0
0.687804878;relu;0.057323174;38;adaptive;169;sgd;0;0
0.746341463;identity;0.000348996;64;adaptive;656;sgd;0;0
0.756097561;identity;0.006048971;64;invscaling;718;adam;0;0
0.809756098;relu;0.000604781;67;constant;274;lbfgs;0;0
0.785365854;logistic;0.044807828;48;constant;437;lbfgs;0;0
0.765853659;relu;0.000368496;53;invscaling;851;adam;0;0
0.83902439;logistic;0.002436759;38;adaptive;876;lbfgs;0;0
0.809756098;tanh;0.004015104;48;constant;939;lbfgs;0;0
0.785365854;logistic;0.000438523;90;invscaling;809;adam;0;0
0.497560976;tanh;3.54E-05;1;adaptive;347;adam;0;0
0.795121951;tanh;0.000778917;85;invscaling;192;lbfgs;0;0
0.795121951;logistic;0.006955026;66;invscaling;235;lbfgs;0;0
0.746341463;identity;0.00748078;93;adaptive;993;sgd;0;0
0.785365854;tanh;0.004036516;31;adaptive;811;adam;0;0
0.785365854;relu;0.023137681;91;constant;313;lbfgs;0;0
0.741463415;identity;0.002138019;52;adaptive;284;sgd;0;0
0.770731707;identity;4.55E-05;84;adaptive;641;adam;0;0
0.590243902;tanh;3.60E-05;24;invscaling;188;sgd;0;0
0.502439024;relu;0.007347956;8;constant;632;lbfgs;0;0
0.809756098;logistic;0.002876625;75;invscaling;194;adam;0;0
0.502439024;tanh;0.061395265;4;invscaling;736;lbfgs;0;0
0.795121951;identity;0.022853648;11;invscaling;263;lbfgs;0;0
0.819512195;logistic;3.79E-05;15;constant;856;lbfgs;0;0
0.712195122;identity;0.010951921;74;adaptive;782;sgd;0;0
0.629268293;relu;0.000331072;28;constant;346;sgd;0;0
0.643902439;relu;0.001847725;85;invscaling;684;sgd;0;0
0.8;identity;0.01655674;71;invscaling;546;lbfgs;0;0
0.634146341;logistic;0.007054217;85;adaptive;167;sgd;0;0
0.790243902;relu;0.016868963;26;adaptive;774;lbfgs;0;0
0.502439024;tanh;0.010651298;97;invscaling;191;sgd;0;0
0.502439024;logistic;2.20E-05;86;invscaling;396;sgd;0;0
0.809756098;logistic;0.000192454;6;constant;467;adam;0;0
0.790243902;logistic;0.000576146;27;invscaling;364;lbfgs;0;0
0.770731707;logistic;0.004300375;10;constant;365;adam;0;0
0.785365854;tanh;0.014579907;33;constant;975;lbfgs;0;0
0.502439024;tanh;0.011093323;5;invscaling;976;sgd;0;0
0.712195122;identity;3.32E-05;59;adaptive;417;sgd;0;0
0.668292683;tanh;6.78E-05;83;adaptive;348;sgd;0;0
0.809756098;tanh;0.009965287;54;invscaling;715;lbfgs;0;0
0.795121951;identity;1.92E-05;20;adaptive;930;lbfgs;0;0
0.790243902;logistic;0.000157722;43;constant;132;adam;0;0
0.72195122;identity;0.023897784;39;constant;595;adam;0;0
0.795121951;identity;0.01635166;42;constant;940;lbfgs;0;0
0.648780488;identity;0.006538784;25;invscaling;486;sgd;0;0
0.575609756;identity;0.007235575;2;invscaling;579;sgd;0;0
0.83902439;tanh;0.00713966;34;adaptive;573;lbfgs;0;0
0.790243902;identity;0.082506101;4;invscaling;754;adam;0;0
0.502439024;relu;1.72E-05;10;constant;277;sgd;0;0
0.785365854;relu;0.010017975;99;adaptive;454;adam;0;0
0.819512195;tanh;5.31E-05;61;invscaling;976;lbfgs;0;0
0.780487805;identity;5.96E-05;24;invscaling;582;adam;0;0
0.756097561;identity;0.001475391;49;invscaling;883;adam;0;0
0.814634146;logistic;0.011386268;32;invscaling;808;adam;0;0
0.502439024;tanh;0.040304964;4;constant;666;sgd;0;0
0.795121951;identity;0.031250501;23;invscaling;928;lbfgs;0;0
0.673170732;identity;6.09E-05;34;invscaling;336;sgd;0;0
0.497560976;relu;8.83E-05;9;invscaling;259;sgd;0;0
0.63902439;logistic;0.002729079;97;adaptive;725;sgd;0;0
0.643902439;identity;1.17E-05;94;constant;739;sgd;0;0
0.643902439;logistic;0.004706171;33;constant;916;sgd;0;0
0.790243902;identity;0.011615644;8;invscaling;470;adam;0;0
0.804878049;logistic;0.00026177;92;invscaling;123;adam;0;0
0.819512195;relu;0.002775552;22;constant;936;lbfgs;0;0
0.673170732;logistic;0.099719008;87;constant;102;lbfgs;0;0
0.717073171;identity;0.015257666;57;constant;198;sgd;0;0
0.790243902;logistic;0.000181836;85;adaptive;423;lbfgs;0;0
0.497560976;tanh;5.89E-05;86;invscaling;588;sgd;0;0
0.63902439;identity;0.002063132;93;invscaling;597;sgd;0;0
0.52195122;tanh;0.000110935;73;invscaling;376;sgd;0;0
0.502439024;relu;0.000760485;8;constant;848;adam;0;0
0.76097561;relu;0.000603829;23;constant;597;adam;0;0
0.809756098;identity;0.009687026;69;invscaling;179;lbfgs;0;0
0.643902439;identity;2.92E-05;39;invscaling;711;sgd;0;0
0.83902439;tanh;0.01384593;93;invscaling;413;lbfgs;0;0
0.795121951;logistic;0.000583037;62;invscaling;242;adam;0;0
0.814634146;tanh;0.029042258;19;constant;708;lbfgs;0;0
0.63902439;tanh;3.09E-05;43;adaptive;947;sgd;0;0
0.653658537;tanh;0.000109808;83;adaptive;971;sgd;0;0
0.76097561;relu;0.011358693;18;invscaling;510;adam;0;0
0.634146341;logistic;0.032411711;46;adaptive;577;sgd;0;0
0.795121951;identity;1.17E-05;97;constant;824;lbfgs;0;0
0.502439024;logistic;0.000130618;1;invscaling;897;lbfgs;0;0
0.63902439;tanh;0.08883728;35;constant;229;lbfgs;0;0
0.795121951;identity;3.98E-05;60;adaptive;798;lbfgs;0;0
0.804878049;logistic;0.006781477;93;constant;344;adam;0;0
0.614634146;tanh;3.11E-05;95;invscaling;942;sgd;0;0
0.663414634;logistic;8.81E-05;93;constant;141;sgd;0;0
0.668292683;relu;0.092360658;28;adaptive;349;sgd;0;0
0.512195122;tanh;0.000189396;82;invscaling;434;sgd;0;0
0.785365854;relu;0.000351872;81;constant;968;adam;0;0
0.785365854;tanh;0.000643981;14;adaptive;721;adam;0;0
0.790243902;identity;0.044059528;8;constant;967;lbfgs;0;0
0.785365854;logistic;0.018079176;3;invscaling;413;lbfgs;0;0
0.804878049;tanh;0.009238852;79;invscaling;746;adam;0;0
0.795121951;tanh;0.00819676;68;constant;567;adam;0;0
0.634146341;logistic;0.001752569;78;constant;916;sgd;0;0
0.63902439;tanh;0.000550162;74;invscaling;846;sgd;0;0
0.775609756;relu;0.004086121;92;invscaling;741;lbfgs;0;0
0.795121951;identity;3.75E-05;80;invscaling;932;adam;0;0
0.736585366;relu;0.001346945;29;constant;274;lbfgs;0;0
0.790243902;logistic;0.035453557;88;invscaling;291;lbfgs;0;0
0.790243902;identity;0.027599177;82;invscaling;594;lbfgs;0;0
0.702439024;identity;1.65E-05;50;invscaling;493;sgd;0;0
0.795121951;identity;1.73E-05;30;adaptive;971;lbfgs;0;0
0.726829268;tanh;0.036218857;84;invscaling;127;lbfgs;0;0
0.746341463;identity;1.59E-05;58;invscaling;380;adam;0;0
0.668292683;logistic;0.038109148;88;adaptive;788;sgd;0;0
0.67804878;tanh;1.11E-05;88;constant;637;sgd;0;0
0.702439024;identity;1.13E-05;92;invscaling;811;sgd;0;0
0.682926829;relu;5.02E-05;28;adaptive;328;sgd;0;0
0.814634146;tanh;0.000227993;21;invscaling;976;lbfgs;0;0
0.8;relu;4.78E-05;14;adaptive;529;lbfgs;0;0
0.795121951;identity;8.52E-05;94;constant;600;lbfgs;0;0
0.624390244;logistic;8.11E-05;24;constant;110;sgd;0;0
0.795121951;logistic;0.000327667;84;invscaling;575;adam;0;0
0.785365854;relu;0.005468866;100;adaptive;783;lbfgs;0;0
0.775609756;identity;0.000353425;55;constant;196;adam;0;0
0.76097561;relu;2.47E-05;65;invscaling;813;adam;0;0
0.824390244;relu;0.000942819;57;invscaling;374;lbfgs;0;0
0.819512195;tanh;0.000160687;51;invscaling;425;lbfgs;0;0
0.790243902;tanh;0.047491114;77;invscaling;165;adam;0;0
0.648780488;logistic;0.001000707;49;constant;507;sgd;0;0
0.614634146;logistic;0.003787215;84;constant;442;sgd;0;0
0.497560976;logistic;0.008164661;2;adaptive;217;sgd;0;0
0.702439024;logistic;5.12E-05;72;adaptive;147;lbfgs;0;0
0.712195122;identity;1.51E-05;47;constant;201;sgd;0;0
0.795121951;tanh;0.000783443;100;adaptive;242;lbfgs;0;0
0.809756098;logistic;0.030630683;65;adaptive;126;adam;0;0
0.634146341;relu;0.049516584;43;constant;812;sgd;0;0
0.795121951;logistic;0.012428562;36;adaptive;396;adam;0;0
0.848780488;logistic;0.000678912;40;adaptive;916;lbfgs;0;0
0.834146341;tanh;1.37E-05;95;adaptive;589;lbfgs;0;0
0.814634146;logistic;0.044846916;41;invscaling;914;lbfgs;0;0
0.83902439;logistic;0.030345552;94;adaptive;647;lbfgs;0;0
0.795121951;tanh;1.12E-05;33;invscaling;754;adam;0;0
0.682926829;tanh;0.020131311;73;adaptive;511;sgd;0;0
0.663414634;logistic;0.0004992;5;adaptive;629;sgd;0;0
0.790243902;tanh;0.007806754;99;constant;825;adam;0;0
0.775609756;tanh;7.71E-05;26;constant;774;adam;0;0
0.8;identity;0.003914986;91;invscaling;127;lbfgs;0;0
0.614634146;relu;0.000101501;85;constant;577;sgd;0;0
0.770731707;relu;0.003459719;44;constant;556;adam;0;0
0.829268293;logistic;3.36E-05;70;constant;893;lbfgs;0;0
0.795121951;logistic;0.000286021;77;constant;623;adam;0;0
0.795121951;logistic;0.000445882;29;invscaling;722;adam;0;0
0.741463415;identity;0.000320216;52;adaptive;573;sgd;0;0
0.756097561;identity;2.55E-05;48;invscaling;303;adam;0;0
0.502439024;logistic;0.016139312;82;invscaling;764;sgd;0;0
0.570731707;tanh;0.050852388;59;invscaling;451;sgd;0;0
0.614634146;tanh;0.055043041;83;adaptive;176;sgd;0;0
0.604878049;logistic;3.11E-05;42;constant;547;sgd;0;0
0.8;identity;0.055611363;39;invscaling;334;lbfgs;0;0
0.726829268;identity;0.000430459;40;constant;683;adam;0;0
0.8;identity;0.000130515;4;invscaling;330;lbfgs;0;0
0.795121951;identity;0.000136149;57;adaptive;928;lbfgs;0;0
0.692682927;logistic;2.72E-05;62;invscaling;206;lbfgs;0;0
0.692682927;tanh;0.027775655;62;invscaling;565;lbfgs;0;0
0.770731707;relu;0.002169283;76;invscaling;577;adam;0;0
0.741463415;identity;1.57E-05;70;adaptive;880;sgd;0;0
0.502439024;logistic;5.59E-05;14;constant;466;lbfgs;0;0
0.624390244;logistic;0.000780024;73;adaptive;410;sgd;0;0
0.804878049;identity;1.37E-05;79;constant;326;lbfgs;0;0
0.502439024;relu;0.01626821;2;invscaling;661;sgd;0;0
0.643902439;tanh;0.001083371;62;constant;303;sgd;0;0
0.785365854;identity;5.61E-05;38;adaptive;635;adam;0;0
0.780487805;relu;1.03E-05;28;constant;143;lbfgs;0;0
0.814634146;tanh;0.001629614;75;constant;474;lbfgs;0;0
0.765853659;logistic;0.0269782;59;constant;806;adam;0;0
0.83902439;logistic;0.001430913;66;adaptive;446;lbfgs;0;0
0.8;tanh;0.018733645;89;constant;138;adam;0;0
0.648780488;relu;0.000468221;43;constant;953;sgd;0;0
0.790243902;tanh;1.34E-05;30;constant;596;lbfgs;0;0
0.653658537;logistic;0.000122743;73;adaptive;248;sgd;0;0
0.804878049;identity;0.0039219;76;invscaling;114;lbfgs;0;0
0.795121951;tanh;0.000615658;19;constant;191;adam;0;0
0.785365854;tanh;0.002627648;19;constant;312;adam;0;0
0.76097561;relu;0.069784619;23;invscaling;616;adam;0;0
0.502439024;relu;0.099227406;96;constant;811;lbfgs;0;0
0.795121951;identity;8.62E-05;63;constant;212;lbfgs;0;0
0.795121951;identity;0.001482857;59;adaptive;561;adam;0;0
0.848780488;logistic;9.86E-05;68;constant;934;lbfgs;0;0
0.692682927;relu;8.97E-05;56;invscaling;282;sgd;0;0
0.673170732;tanh;0.012679316;53;adaptive;388;sgd;0;0
0.52195122;identity;7.36E-05;3;invscaling;127;sgd;0;0
0.619512195;logistic;0.010483002;17;adaptive;254;sgd;0;0
0.8;logistic;0.001467859;57;adaptive;173;adam;0;0
0.634146341;tanh;0.000831834;75;constant;835;sgd;0;0
0.746341463;relu;2.47E-05;60;constant;579;adam;0;0
0.785365854;identity;0.084087974;44;adaptive;210;adam;0;0
0.8;relu;0.022410855;78;constant;589;adam;0;0
0.653658537;logistic;0.002200166;31;adaptive;997;sgd;0;0
0.804878049;identity;0.008249936;10;constant;706;lbfgs;0;0
0.848780488;logistic;0.053384263;84;adaptive;627;lbfgs;0;0
0.819512195;relu;6.99E-05;30;invscaling;519;lbfgs;0;0
0.795121951;tanh;7.05E-05;62;constant;311;adam;0;0
0.785365854;logistic;0.004213415;21;invscaling;681;lbfgs;0;0
0.541463415;relu;6.69E-05;3;constant;700;lbfgs;0;0
0.8;identity;4.24E-05;71;invscaling;286;lbfgs;0;0
0.756097561;identity;0.01617858;94;adaptive;422;adam;0;0
0.658536585;logistic;0.001034073;83;adaptive;575;sgd;0;0
0.634146341;relu;0.000369799;80;invscaling;110;sgd;0;0
0.824390244;tanh;0.000402463;69;constant;328;lbfgs;0;0
0.624390244;logistic;0.000267083;59;constant;424;sgd;0;0
